attack,epsilon,correct,loss
general_PGD,0.0001,0.1965940594059406,7.9720621715618085
general_PGD,0.001,0.152,9.110861436324784
general_PGD,0.01,0.011683168316831683,24.906146826925156
general_PGD,0.1,3.9603960396039605e-05,140.36837283750123
general_PGD,1.0,0.0,158.5576693184768
ifgsm,0.0001,0.20087128712871288,7.861527089227604
ifgsm,0.001,0.1963960396039604,7.936327202410638
ifgsm,0.01,0.15243564356435643,8.742903879322583
ifgsm,0.1,0.15243564356435643,8.742903557004809
ifgsm,1.0,0.15243564356435643,8.742904315719121
